City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,8.79,93,95,3.58,NZ,1689905669
1,newman,37.3138,-121.0208,37.19,10,0,3.56,US,1689905669
2,port-aux-francais,-49.35,70.2167,1.71,54,96,14.29,TF,1689905670
3,yellowknife,62.456,-114.3525,26.98,44,100,4.63,CA,1689905428
4,olinda,-8.0089,-34.8553,25.85,73,75,6.69,BR,1689905525
5,east london,-33.0153,27.9116,12.48,57,100,6.73,ZA,1689905671
6,ushuaia,-54.8,-68.3,-0.19,74,75,4.12,AR,1689905479
7,labrador city,52.9463,-66.9114,10.95,100,20,1.03,CA,1689905672
8,albany,42.6001,-73.9662,22.55,74,56,1.43,US,1689905672
9,juneau,58.3019,-134.4197,22.0,49,75,3.09,US,1689905656
10,thompson,55.7435,-97.8558,23.09,49,40,0.0,CA,1689905673
11,avarua,-21.2078,-159.775,23.03,56,75,7.2,CK,1689905673
12,sheridan,44.8333,-106.9173,22.23,59,0,1.54,US,1689905674
13,libourne,44.9167,-0.25,17.28,95,18,2.2,FR,1689905674
14,holmsund,63.706,20.3641,12.75,93,100,1.03,SE,1689905675
15,ust-nera,64.5667,143.2,29.42,31,40,3.58,RU,1689905675
16,invercargill,-46.4,168.35,8.06,64,5,3.53,NZ,1689905675
17,sisimiut,66.9395,-53.6735,7.56,99,96,1.02,GL,1689905676
18,praia da vitoria,38.7333,-27.0667,21.53,94,20,2.94,PT,1689905676
19,hawaiian paradise park,19.5933,-154.9731,28.74,74,75,1.54,US,1689905537
20,wailua homesteads,22.0669,-159.378,30.24,69,40,8.75,US,1689905677
21,grytviken,-54.2811,-36.5092,-1.43,90,97,1.45,GS,1689905677
22,mo i rana,66.3128,14.1428,12.4,88,100,1.54,NO,1689905677
23,margaret river,-33.95,115.0667,15.08,75,71,8.98,AU,1689905678
24,villa gesell,-37.2639,-56.973,11.14,93,57,5.34,AR,1689905678
25,brookings,44.3114,-96.7984,21.73,70,20,2.57,US,1689905678
26,edinburgh of the seven seas,-37.0676,-12.3116,11.64,63,100,10.54,SH,1689905679
27,chui,-33.6971,-53.4616,14.13,94,99,3.86,UY,1689905679
28,altagracia de orituco,9.8601,-66.3814,22.49,94,100,0.82,VE,1689905680
29,fastiv,50.0767,29.9177,12.31,98,17,3.3,UA,1689905680
30,quellon,-43.1167,-73.6167,10.14,93,75,4.12,CL,1689905680
31,susuman,62.7833,148.1667,27.53,40,17,3.96,RU,1689905681
32,geyve,40.5075,30.2925,15.86,56,8,0.48,TR,1689905681
33,port alfred,-33.5906,26.891,12.71,57,83,10.14,ZA,1689905681
34,paradip garh,20.3167,86.6167,29.16,81,100,3.46,IN,1689905682
35,fort bragg,35.139,-79.006,27.75,80,99,3.52,US,1689905682
36,college,64.8569,-147.8028,23.37,71,40,2.57,US,1689905683
37,ilulissat,69.2167,-51.1,8.01,93,75,0.0,GL,1689905683
38,adamstown,-25.066,-130.1015,20.76,86,100,10.69,PN,1689905683
39,midvagur,62.0511,-7.1939,9.46,93,75,7.72,FO,1689905684
40,papao,-17.75,-149.55,25.82,66,31,8.67,PF,1689905684
41,kodiak,57.79,-152.4072,12.73,94,0,2.57,US,1689905684
42,valparaiso,-33.0393,-71.6273,15.0,65,75,3.09,CL,1689905547
43,vorkuta,67.5,64.0,20.07,81,100,4.04,RU,1689905685
44,blackmans bay,-43.0167,147.3167,11.07,62,0,2.59,AU,1689905685
45,zhanaozen,43.3,52.8,25.11,41,0,3.92,KZ,1689905686
46,bethel,41.3712,-73.414,24.2,78,0,1.54,US,1689905686
47,ain sukhna,29.6002,32.3167,27.51,46,0,1.76,EG,1689905686
48,whitehorse,60.7161,-135.0538,25.05,35,75,2.06,CA,1689905687
49,udachny,66.4167,112.4,18.54,51,54,1.44,RU,1689905687
50,al jawf,29.5,38.75,26.1,25,0,6.02,SA,1689905687
51,castillos,-34.1667,-53.8333,12.93,94,36,4.02,UY,1689905688
52,trinidad,-14.8333,-64.9,21.7,62,0,1.01,BO,1689905688
53,utrik,11.2278,169.8474,28.4,79,21,9.08,MH,1689905689
54,tamanrasset,22.785,5.5228,23.95,16,0,3.09,DZ,1689905689
55,saipan,15.1355,145.701,31.39,100,20,5.66,MP,1689905689
56,st. john's,47.5649,-52.7093,21.66,92,100,7.2,CA,1689905683
57,labytnangi,66.6572,66.4183,20.24,80,4,1.4,RU,1689905690
58,kismayo,-0.3582,42.5454,25.02,85,45,8.13,SO,1689905690
59,ad dabbah,18.05,30.95,34.23,16,57,3.21,SD,1689905691
60,puerto natales,-51.7236,-72.4875,-0.76,98,100,1.2,CL,1689905691
61,baruun-urt,46.6806,113.2792,17.94,79,100,7.63,MN,1689905691
62,same,-4.0667,37.7333,16.88,92,63,2.33,TZ,1689905692
63,constantia,44.1833,28.65,20.39,80,27,3.68,RO,1689905692
64,tiksi,71.6872,128.8694,6.15,69,99,3.6,RU,1689905692
65,iqaluit,63.7506,-68.5145,4.85,93,100,1.54,CA,1689905693
66,badger,64.8,-147.5333,23.32,67,0,2.57,US,1689905693
67,nema,57.5067,50.5011,12.65,93,36,4.55,RU,1689905694
68,ponoka,52.6768,-113.5815,21.83,74,10,1.19,CA,1689905694
69,kristiansund,63.1115,7.732,12.36,82,100,1.54,NO,1689905694
70,vorgashor,67.5833,63.95,19.85,80,100,3.67,RU,1689905695
71,kallar kahar,32.7833,72.7,29.64,66,12,1.14,PK,1689905695
72,mont-dore,-22.2833,166.5833,23.99,99,0,4.96,NC,1689905695
73,mitu,1.1983,-70.1733,22.23,99,96,1.15,CO,1689905696
74,keflavik,64.0049,-22.5624,11.95,93,100,2.06,IS,1689905696
75,al qusayr,34.5091,36.5798,22.07,54,0,1.55,SY,1689905696
76,papatowai,-46.5619,169.4708,8.23,62,0,9.36,NZ,1689905697
77,namibe,-15.1961,12.1522,16.88,84,1,1.02,AO,1689905697
78,aykhal,66.0,111.5,17.03,73,96,1.01,RU,1689905697
79,aasiaat,68.7098,-52.8699,3.52,97,83,5.05,GL,1689905698
80,istgah-e rah ahan-e garmsar,35.2346,52.3094,31.36,29,71,3.52,IR,1689905698
81,steamboat springs,40.485,-106.8317,22.77,56,75,2.57,US,1689905699
82,longyearbyen,78.2186,15.6401,8.91,76,40,6.69,SJ,1689905696
83,chinde,26.8418,88.0763,23.18,76,99,1.67,NP,1689905700
84,madimba,-10.4,40.3333,22.42,88,20,5.2,TZ,1689905700
85,greenville,35.6127,-77.3663,27.85,92,75,0.0,US,1689905700
86,chibougamau,49.9168,-74.3659,16.79,82,100,1.54,CA,1689905701
87,puerto gaitan,4.3133,-72.0816,25.95,75,98,2.11,CO,1689905701
88,stanley,54.868,-1.6985,10.43,90,0,4.63,GB,1689905702
89,vadso,70.0744,29.7487,9.49,87,100,7.2,NO,1689905702
90,malabo,3.75,8.7833,24.92,94,20,2.06,GQ,1689905703
91,santa cruz,-17.8,-63.1667,20.7,83,0,4.12,BO,1689905670
92,itaituba,-4.2761,-55.9836,24.99,54,53,0.61,BR,1689905656
93,takanabe,32.1333,131.5,27.94,92,100,0.31,JP,1689905704
94,dolores,-36.3132,-57.6792,9.21,95,98,3.61,AR,1689905705
95,tazovsky,67.4667,78.7,20.68,57,46,4.78,RU,1689905706
96,colac,-38.3333,143.5833,8.98,71,55,3.11,AU,1689905706
97,ivanovskoye,44.5795,41.8764,16.54,73,0,2.84,RU,1689905707
98,sinabang,2.4803,96.3801,27.58,75,99,2.51,ID,1689905707
99,nogliki,51.8333,143.1667,17.86,82,77,1.9,RU,1689905707
100,rongelap,11.1635,166.8941,28.75,79,99,8.34,MH,1689905708
101,afaahiti,-17.75,-149.2833,24.93,66,34,8.98,PF,1689905708
102,cabedelo,-6.9811,-34.8339,23.37,77,14,6.74,BR,1689905478
103,lata,40.1629,-8.3327,16.15,98,38,0.88,PT,1689905709
104,chauk,20.8833,94.8167,28.07,77,99,6.29,MM,1689905710
105,bredasdorp,-34.5322,20.0403,6.13,86,0,2.17,ZA,1689905710
106,jinchang,38.4953,102.1739,22.44,31,0,3.45,CN,1689905710
107,tacuarembo,-31.7333,-55.9833,13.58,97,65,3.61,UY,1689905711
108,klyuchi,52.2667,79.1667,25.8,43,31,4.21,RU,1689905711
109,tsiombe,-25.3,45.4833,19.07,74,97,6.31,MG,1689905712
110,zmeinogorsk,51.1567,82.195,22.47,62,8,3.95,RU,1689905712
111,cabo san lucas,22.8909,-109.9124,35.9,51,0,9.26,MX,1689905429
112,ghat,24.9647,10.1728,28.56,24,0,0.72,LY,1689905713
113,cidreira,-30.1811,-50.2056,16.75,91,100,6.05,BR,1689905713
114,corn island,12.1694,-83.0418,28.38,82,97,7.9,NI,1689905714
115,port elizabeth,-33.918,25.5701,13.16,58,0,8.23,ZA,1689905714
116,jamestown,42.097,-79.2353,16.68,98,75,3.6,US,1689905437
117,la'ie,21.6477,-157.9253,30.98,68,6,4.02,US,1689905715
118,nizhnesortymskiy,62.4397,71.7603,20.95,59,99,4.34,RU,1689905715
119,mossel bay,-34.1831,22.146,5.96,64,0,3.16,ZA,1689905716
120,tekirova,36.5017,30.5272,29.31,36,0,1.87,TR,1689905716
121,okhotsk,59.3833,143.3,16.67,77,48,5.26,RU,1689905716
122,calca,-13.3333,-71.95,8.64,84,18,2.11,PE,1689905717
123,kudahuvadhoo,2.6708,72.8944,28.29,75,53,4.53,MV,1689905717
124,hermanus,-34.4187,19.2345,7.67,75,0,4.47,ZA,1689905718
125,manokwari,-0.8667,134.0833,28.71,71,24,3.69,ID,1689905718
126,geraldton,-28.7667,114.6,13.23,82,100,3.6,AU,1689905718
127,puerto el triunfo,13.2833,-88.55,27.98,75,54,1.53,SV,1689905719
128,dunedin,-45.8742,170.5036,9.89,52,3,5.81,NZ,1689905719
129,nova vicosa,-17.8919,-39.3719,22.24,85,98,7.2,BR,1689905720
130,beau vallon,-20.4189,57.6953,20.12,94,20,2.06,MU,1689905720
131,whangarei,-35.7317,174.3239,13.48,88,100,2.75,NZ,1689905721
132,yuzhno-kurilsk,44.0306,145.8556,17.13,84,49,3.94,RU,1689905721
133,khanty-mansiysk,61.0042,69.0019,19.06,82,0,1.0,RU,1689905722
134,rundu,-17.9333,19.7667,14.72,37,91,2.33,NA,1689905722
135,yarmouth,41.7057,-70.2286,22.79,88,0,1.79,US,1689905722
136,rehoboth,-23.3167,17.0833,7.08,39,0,0.97,NA,1689905723
137,rodino,52.5,80.25,23.9,52,2,4.53,RU,1689905490
138,anadyr,64.75,177.4833,14.28,94,100,2.0,RU,1689905724
139,acapulco de juarez,16.8634,-99.8901,29.9,84,75,3.6,MX,1689905724
140,messini,37.0511,22.0078,27.32,73,0,1.03,GR,1689905725
141,cooper's town,26.8667,-77.5167,29.74,75,50,4.12,BS,1689905725
142,alamos,27.0167,-108.9333,24.58,69,100,2.04,MX,1689905725
143,pointe-du-lac,46.2869,-72.6845,23.94,85,100,1.54,CA,1689905726
144,vetapalem,15.7833,80.3167,28.16,67,100,6.28,IN,1689905726
145,trondheim,63.4305,10.3951,12.73,86,100,1.93,NO,1689905727
146,mar del plata,-38.0023,-57.5575,10.61,90,0,4.12,AR,1689905675
